,name,company,year,Price,kms_driven,fuel_type
260,Hyundai i10 Magna,Hyundai,2013,321000,89000,Petrol
261,Volkswagen Polo Diesel,Volkswagen,2011,330000,64000,Diesel
262,Maruti Swift Vdi,Maruti,2010,200000,120000,Diesel
263,Honda Jazz 1.2,Honda,2017,540000,42000,Petrol
264,Datsun RediGO T,Datsun,2017,270000,55000,Petrol
265,Hyundai Santro Era,Hyundai,2019,495000,30000,Petrol
266,Tata Hexa XTA,Tata,2017,1000000,86500,Diesel
267,Honda CR-V 2.4L,Honda,2014,1050000,59000,Petrol
268,Hyundai EON Era,Hyundai,2018,310000,15000,Petrol
269,Mahindra Scorpio S7,Mahindra,2019,1200000,70000,Diesel
270,Volkswagen Polo ALLSTAR,Volkswagen,2017,600000,50000,Petrol
271,Chevrolet Cruze LT,Chevrolet,2012,300000,110000,Diesel
272,Tata Nexon XMA,Tata,2021,925000,13700,Petrol
273,Maruti Swift VXI,Maruti,2019,570000,25000,Petrol
274,Ford Ecosport Sports,Ford,2021,1100000,20000,Diesel
275,Jaguar XF 2.2,Jaguar,2014,1800000,70000,Diesel
276,Tata Indica TDI,Tata,2013,100000,35000,Diesel
277,Toyota Fortuner 4X4,Toyota,2021,4350000,26629,Diesel
278,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2019,4650000,20000,Diesel
279,Mercedes-Benz GLC Progressive,Mercedes-Benz,2019,5395000,33000,Diesel
280,BMW 3 Series,BMW,2021,6175000,25000,Petrol
281,Audi Q3 30,Audi,2017,2795000,55291,Diesel
282,Mercedes-Benz C-Class C,Mercedes-Benz,2013,1650000,58500,Diesel
283,Audi Q7 45,Audi,2018,7250000,15000,Diesel
284,Renault Duster 85PS,Renault,2014,650000,90000,Diesel
285,Audi Q3 35,Audi,2012,1300000,64000,Diesel
286,Maruti Zen LXI,Maruti,2004,400000,132596,Petrol
287,Maruti Swift VXI,Maruti,2008,154000,99673,Petrol
288,Tata Nexon EV,Tata,2021,418000,24374,Electric
289,Volkswagen Vento Petrol,Volkswagen,2011,392000,69828,Petrol
290,Maruti Baleno 1.2,Maruti,2016,594000,72820,Petrol
291,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2019,3724000,20785,Diesel
